Marca temporal,Email,What is the name of your company?,Does your company have specific language requirements for this position? [English],Does your company have specific language requirements for this position? [Spanish],Does your company have specific language requirements for this position? [Portuguese],Does your company have specific language requirements for this position? [French],Does your company have specific language requirements for this position? [Dutch],Does your company have specific language requirements for this position? [Catalan],Where will this position be located?,"Regarding remote working, how many days a week could the employee work off site?","On a scale from 1 to 10, how much time will the employee be spending working on back end and front end?","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Java]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [C# / ASP.net]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Python]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [PHP]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [SQL]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Angular (Typescript generation)]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Vue]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Firebase]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [AWS]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Docker / Kubernetes]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Design Tools (Photoshop, Illustrator...)]","From this list, please rank these 3 soft skills in order of importance for this position [Motivation and ability to overcome problems: employee has a passionate, can-do attitude and proactively looks for solutions to every problem they encounter]","From this list, please rank these 3 soft skills in order of importance for this position [Coachability: Employee is receptive and actively listens and acts on feedback received]","From this list, please rank these 3 soft skills in order of importance for this position [Teamwork: Employee is able to receive and provide value in a team environment]"
24/06/2019 15:55:27,cristina@spotlab.org,Spotlab,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,No Need,Nice to have: They should have a basic knowledge,No Need,No Need,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,1,3,2
25/06/2019 11:33:09,jperez@magiquo.com,magiquo,Must be able to read basic documentation,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,8,No Need,No Need,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,3,2,1
25/06/2019 11:47:04,yarilo.villanueva@mediasmart.io,Mediasmart,Must be able to read documentation and have an informal conversation,Must be able to read documentation and communicate in a meeting,No need,No need,No need,No need,In the city where the campus is located,3+ Days. It's up to the employee,6,No Need,No Need,No Need,No Need,No Need,No Need,No Need,No Need,No Need,No Need,No Need,2,3,1
25/06/2019 11:51:29,mamen.garcia@bringglobal.com,Bring Global,Must be able to read basic documentation,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,1-2 Days a week,5,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,1,2,3
25/06/2019 12:13:27,cristian@binpar.com,BinPar Team SL,Must be able to read basic documentation,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,1-2 Days a week,5,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,No Need,1,3,2
25/06/2019 12:26:22,alicia.regodon@bicg.com,Di-Dy,Must be able to read documentation and have an informal conversation,Must be able to read documentation and communicate in a meeting,No need,No need,No need,No need,In the city where the campus is located,1-2 Days a week,5,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,No Need,Must have: Must be able to work with the technology on a regular basis,No Need,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,2,1,3
25/06/2019 13:15:39,oscar.delrio@interacso.com,interacso,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,No need,No need,No need,No need,In the country where the campus is located,3+ Days. It's up to the employee,6,No Need,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,3,2,1
25/06/2019 17:00:59,celia.sanzgarcia@soprasteria.com,Sopra Steria,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,5,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,No Need,1,3,2
25/06/2019 20:12:03,oanton@mantra-internet.es,Mantra Internet,Must be able to read documentation and have an informal conversation,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,1-2 Days a week,6,No Need,No Need,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,2,3,1
26/06/2019 17:50:05,alicia.galera@techedgegroup.com,TECHEDGE ESPAÑA,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,1-2 Days a week,5,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,No Need,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,No Need,No Need,1,3,2
27/06/2019 10:54:08,talento@syntonize.com,Syntonize,Must be able to read documentation and have an informal conversation,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,8,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,No Need,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,3,2,1
27/06/2019 15:56:35,clara.rodriguez@thekeytalent.com,The Key Talent,No need,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,1-2 Days a week,4,Nice to have: They should have a basic knowledge,No Need,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,No Need,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,3,2,1
28/06/2019 15:54:27,andres.felipe@clairejoster.com,Claire joster,Must be able to read basic documentation,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,10,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,3,1,2
1/07/2019 9:47:20,guscuvilca@keedio.com,Keedio,Must be able to read basic documentation,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,8,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,3,1,2
1/07/2019 10:39:24,ggallego@deloitte.es,Deloitte,Can work in full capacity in this language,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,1-2 Days a week,8,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,3,2,1
1/07/2019 11:36:32,miguelcharnecogarrido@gmail.com,Arvato Bertelsmann,Can work in full capacity in this language,Must be able to read documentation and communicate in a meeting,No need,Must be able to read basic documentation,Must be able to read documentation and communicate in a meeting,Must be able to read basic documentation,In the country where the campus is located,1-2 Days a week,1,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,1,3,2
