Timestamp,Email?,What is your full name?,What is your level in the following languages? [English],What is your level in the following languages? [Spanish],What is your level in the following languages? [Portuguese],What is your level in the following languages? [French],What is your level in the following languages? [Dutch],What is your level in the following languages? [Catalan],What are your preferences for job location?,What is your preference in terms of remote working?,"In you role, how would you prefer to allocate your time between working on backend and working on frontend?","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [Java]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [C# / ASP.net]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [Python]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [PHP]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [SQL]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [Angular (Typescript generation)]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [VueJS]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [Firebase]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [AWS]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [Docker / Kubernetes]","Aside from the ones covered in our curriculum (MERN Stack), do you have experience with additional specific hard-skills? [Design Tools (Photoshop, Illustrator...)]","From this list of soft skills, please rank in order the ones you consider you're stronger at [Motivation and ability to overcome problems: I am passionate, have a can-do attitude and proactively look for solutions to every problem.]","From this list of soft skills, please rank in order the ones you consider you're stronger at [Coachability: I am receptive and actively listen and act on the feedback I receive]","From this list of soft skills, please rank in order the ones you consider you're stronger at [Teamwork: I'm able to receive and provide value in a team environment]"
6/5/2019 11:12:45,fake@fake.com11,Student 011,Don't speak it!,Don't speak it!,Don't speak it!,Don't speak it!,Don't speak it!,I'm able to read documentation and have an informal conversation,Anywhere in the world,3+ Days,3,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,1,2,3
6/5/2019 11:13:20,fake@fake.com12,Student 012,Able to read documentation and communicate in a meeting,I'm able to read basic documentation,Can work in full capacity in this language,I'm able to read basic documentation,Don't speak it!,I'm able to read documentation and have an informal conversation,Anywhere in the country where the campus is located,100% remote-based job. No physical office.,10,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,2,1,3
6/5/2019 11:13:55,fake@fake.com13,Student 013,Don't speak it!,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,Can work in full capacity in this language,In the city where the campus is located,100% office-based job.,1,No Experience,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,2,1,3
6/5/2019 11:14:30,fake@fake.com14,Student 014,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Don't speak it!,Anywhere in the country where the campus is located,1-2 Days a week,10,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,No Experience,No Experience,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,1,2,3
6/5/2019 11:15:05,fake@fake.com15,Student 015,Don't speak it!,Don't speak it!,Don't speak it!,Don't speak it!,Don't speak it!,I'm able to read documentation and have an informal conversation,Anywhere in the world,3+ Days,3,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,1,2,3
6/5/2019 11:15:40,fake@fake.com16,Student 016,Able to read documentation and communicate in a meeting,I'm able to read basic documentation,Can work in full capacity in this language,I'm able to read basic documentation,Don't speak it!,I'm able to read documentation and have an informal conversation,Anywhere in the country where the campus is located,100% remote-based job. No physical office.,10,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,2,1,3
6/5/2019 11:16:15,fake@fake.com17,Student 017,Don't speak it!,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,Can work in full capacity in this language,In the city where the campus is located,100% office-based job.,1,No Experience,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,2,1,3
6/5/2019 11:16:50,fake@fake.com18,Student 018,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Don't speak it!,Anywhere in the country where the campus is located,1-2 Days a week,10,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,No Experience,No Experience,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,1,2,3
6/5/2019 11:17:25,fake@fake.com19,Student 019,Don't speak it!,Don't speak it!,Don't speak it!,Don't speak it!,Don't speak it!,I'm able to read documentation and have an informal conversation,Anywhere in the world,3+ Days,3,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,1,2,3
6/5/2019 11:18:00,fake@fake.com20,Student 020,Able to read documentation and communicate in a meeting,I'm able to read basic documentation,Can work in full capacity in this language,I'm able to read basic documentation,Don't speak it!,I'm able to read documentation and have an informal conversation,Anywhere in the country where the campus is located,100% remote-based job. No physical office.,10,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,2,1,3
6/5/2019 11:18:35,fake@fake.com21,Student 021,Don't speak it!,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,Can work in full capacity in this language,In the city where the campus is located,100% office-based job.,1,No Experience,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,2,1,3
6/5/2019 11:19:10,fake@fake.com22,Student 022,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Don't speak it!,Anywhere in the country where the campus is located,1-2 Days a week,10,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,No Experience,No Experience,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,1,2,3
6/5/2019 11:19:45,fake@fake.com23,Student 023,Don't speak it!,Don't speak it!,Don't speak it!,Don't speak it!,Don't speak it!,I'm able to read documentation and have an informal conversation,Anywhere in the world,3+ Days,3,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,No Experience,1,2,3
6/5/2019 11:20:20,fake@fake.com24,Student 024,Able to read documentation and communicate in a meeting,I'm able to read basic documentation,Can work in full capacity in this language,I'm able to read basic documentation,Don't speak it!,I'm able to read documentation and have an informal conversation,Anywhere in the country where the campus is located,100% remote-based job. No physical office.,10,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,2,1,3
